Flight Index,Delay (seconds)
ZH9087,0
AK1561,9012
MU544,0
ET607,3358
MF892,0
CZ617,0
SQ825,13825
SQ801,3070
FD536,0
ZH8017,0
HU767,6515
CA872,0
MU796,0
CZ661,0
MU223,0
JD608,0
FM832,0
FD533,0
MU219,0
MU251,0
SQ819,0
GA894,0
CZ5057,0
CZ626,12449
QR891,11270
FM863,0
ZH9065,0
MU7389,0
MU760,0
MU779,0
AK114,0
ET605,0
MU7383,0
ZH9005,0
HU7996,0
MU739,0
CZ8354,0
XJ760,7467
MU2814,0
MS958,0
CZ8436,0
CA771,0
CZ305,0
CZ8062,0
TK89,0
FM860,0
CA867,0
CA165,0
ET606,0
CA746,0
ET636,5607
ET684,0
DZ6252,0
MH318,0
LH727,0
CZ6058,0
CA975,0
TR172,0
QR875,0
JD605,0
MU2082,1051
EK363,0
AK1531,0
MU735,10311
MU553,0
CA762,0
SQ826,0
MF846,0
MU703,4575
D7331,0
MU201,0
3U3863,0
CA783,0
TR135,0
CA967,0
OZ322,0
HU757,0
3U3885,0
HO1638,1543
5J679,0
ZH8564,0
CA173,0
3U3883,0
MU5030,0
ET604,0
SL951,0
TK72,0
GS7943,0
CZ384,0
8B861,0
RW827,0
MM898,17595
OZ358,0
FM868,0
CA806,0
CA949,0
SL963,0
QR893,8630
QR870,0
CA907,0
CA980,0
AK119,9779
3U3827,0
MU548,0
MU7311,0
NS3632,0
CA942,0
TR138,0
TK26,0
HU7973,0
SL971,0
SV886,0
CA875,11894
TK88,0
HU775,0
CA737,0
OD693,2580
CA861,15924
CZ6014,0
CA863,0
FD563,0
IJ2,15574
MU5024,0
MU7068,0
CA847,0
TR161,0
MM899,0
9C8516,0
MU7058,0
D7343,0
QR880,0
SL901,0
CA719,0
SQ857,0
HU768,0
SL8813,0
HU491,0
HZ5469,689
7C8134,0
CZ8318,0
CA965,0
QR874,1929
ZH9088,0
CZ8358,0
HU7991,0
MU282,7798
GK36,0
SQ853,0
AQ1266,0
TR156,0
VN521,0
CZ3036,0
ZH8018,0
MU2804,0
MU5076,0
HO1386,14124
QR892,0
CZ8072,0
SL927,0
CA961,3224
UQ2642,11118
NH968,0
MS953,6278
CZ6090,0
FM862,0
FD471,0
EK306,0
MU2670,0
FM836,0
ZH9006,0
CZ334Y,0
Z219,0
OD611,17713
FV6628,0
AK1395,0
5J287,0
BX374,0
JT2648,0
OD613,0
EK302,0
HO1602,0
CA716,12418
AK1523,12793
HO1364,0
VZ3721,0
MU2564,0
LQ909,0
AK129,0
CZ8490,0
CZ5050,0
VZ3719,0
TW624,0
ZH9022,0
SU225,0
MF874,0
FD593,0
MU252,0
CA998,15623
QG8305,0
MU7384,0
AQ1208,0
ZH8024,0
9C7419,6089
AK112,2226
9C6108,0
BG367,0
HO1248,8067
DV472,0
CA904,2686
AQ117A,0
FD537,0
TR100,0
HO1244,0
PG832,0
AK115,0
3U3531,0
3U3711,0
DZ6220,0
MF8845,0
GJ8682,0
CA1469,0
9C8920,15017
9C8753,0
RW608,0
HU7735,17617
FM9472,0
TV9971,0
MU5951,0
FM9355,0
JD5970,0
TV9805,0
ZH9155,0
GS7666,0
MU6447,0
HU6134,0
8L9955,0
MU5716,0
ZH9314,18173
SC2321,0
CZ3549,0
CA4035,0
FM9229,3782
9H8351,0
9H8373,0
CA1659,0
9H6015,0
9C8527,0
3U3365,0
GJ8597,0
9C6177,0
MU6585,0
AQ1146,0
GJ8163,0
CA9613,13879
CA1135,0
AQ1382,10929
HU7001,0
CA1691,0
EK305,0
CA4403,0
9C7132,0
GJ8984,0
CZ856Y,2465
MF8315,0
JD5981,0
SC8731,1180
SC2303,0
MU5691,0
ZH9979,4176
SC4909,11948
JD5587,0
Y87529,0
MU5422,0
MU2413,0
TV6071,0
DZ6265,0
AQ1063,18346
ZH9923,0
HU6129,0
PN6305,0
AQ1033,0
MU2199,0
MF8481,0
MU5931,0
PN6219,0
MU6593,0
MU2211,10885
MU2175,0
AQ1173,0
3U8025,0
3U3176,0
9C6481,0
GJ8809,0
CZ8754,0
CA1613,0
CA1343,15423
9H8365,0
QW9841,0
KY8267,0
CA1292,0
SC4761,0
3U3423,0
GJ8863,6328
JD5915,0
GJ8609,0
AQ1151,9146
GJ8567,0
BK2765,0
PN6243,0
9C8555,0
BK3293,0
MU5449,8559
JR1521,0
CA2525,0
EU2720,0
GJ8853,14239
HU7767,0
CZ827X,0
3U8745,0
GS7902,0
GS7908,6228
3U3282,0
3U6716,0
HO1947,17643
MU6361,0
GJ8059,0
CA4045,0
PN6547,0
HO1089,0
FD556,0
3U8053,0
MU6482,0
DZ6277,0
ZH8371,9840
SC2111,0
3U8003,0
CZ5591,0
CA4519,0
FM9265,0
Y87501,0
MF8043,0
CZ2847,0
MU6579,0
PN6557,0
