,SECTOR_00,SECTOR_01,SECTOR_02,SECTOR_03,SECTOR_04
0,2024-02-05 01:14:01,2024-02-05 01:29:52,2024-02-05 01:52:08,2024-02-05 02:03:41,2024-02-05 02:34:53
1,2024-02-05 20:42:50,,,2024-02-05 21:09:58,
2,2024-02-05 06:13:11,2024-02-05 06:33:10,,2024-02-05 06:57:42,2024-02-05 07:22:35
3,,,2024-02-05 13:59:36,2024-02-05 14:35:28,2024-02-05 14:48:12
4,2024-02-05 10:44:53,,,2024-02-05 11:15:04,2024-02-05 11:38:16
5,2024-02-05 23:48:05,2024-02-06 00:19:13,,2024-02-06 00:44:53,
6,2024-02-05 20:34:09,2024-02-05 20:52:55,,,2024-02-05 21:11:14
7,,2024-02-05 11:44:40,2024-02-05 12:17:04,2024-02-05 12:37:51,
8,2024-02-05 21:41:39,,2024-02-05 22:00:06,2024-02-05 22:13:15,
9,2024-02-05 06:13:53,2024-02-05 06:43:28,2024-02-05 07:19:30,2024-02-05 07:39:19,2024-02-05 08:09:35
10,,,2024-02-05 11:05:59,2024-02-05 11:25:01,
11,,2024-02-05 04:12:38,,2024-02-05 04:31:14,2024-02-05 05:02:23
12,,,,2024-02-05 17:58:01,2024-02-05 18:24:41
13,2024-02-05 09:15:32,,2024-02-05 09:36:10,,2024-02-05 09:52:40
14,2024-02-05 20:16:41,2024-02-05 20:41:07,,,2024-02-05 21:10:03
15,,2024-02-05 16:24:41,2024-02-05 16:46:34,2024-02-05 17:15:49,2024-02-05 17:29:48
16,2024-02-05 23:10:39,2024-02-05 23:32:27,2024-02-05 23:56:00,2024-02-06 00:28:03,2024-02-06 01:07:27
17,2024-02-05 17:37:06,2024-02-05 18:03:27,2024-02-05 18:36:23,,2024-02-05 18:50:07
18,2024-02-05 12:34:56,2024-02-05 13:06:28,2024-02-05 13:29:55,2024-02-05 13:46:44,2024-02-05 14:09:27
19,2024-02-05 19:51:25,,,,2024-02-05 20:26:07
20,2024-02-05 14:48:05,2024-02-05 15:11:26,2024-02-05 15:38:55,2024-02-05 16:15:00,2024-02-05 16:37:28
21,,2024-02-05 19:56:30,,2024-02-05 20:32:44,2024-02-05 20:57:09
22,2024-02-05 18:42:06,,2024-02-05 19:01:16,2024-02-05 19:29:23,2024-02-05 19:42:50
23,2024-02-05 21:44:20,2024-02-05 22:05:45,2024-02-05 22:29:14,2024-02-05 22:51:42,2024-02-05 23:03:15
24,2024-02-05 20:43:16,2024-02-05 21:14:10,2024-02-05 21:32:27,,2024-02-05 22:00:05
25,,,2024-02-06 00:16:40,2024-02-06 00:46:20,
26,2024-02-05 05:12:22,2024-02-05 05:43:04,2024-02-05 06:05:03,,2024-02-05 06:36:48
27,2024-02-05 02:04:07,2024-02-05 02:20:20,2024-02-05 02:41:29,2024-02-05 03:17:50,
28,2024-02-05 04:16:57,,2024-02-05 04:48:06,2024-02-05 05:24:16,2024-02-05 05:45:57
29,2024-02-05 13:27:56,,2024-02-05 13:45:41,2024-02-05 14:19:06,
30,,,2024-02-05 06:11:01,,2024-02-05 06:40:44
31,,,,2024-02-05 04:19:11,
32,,2024-02-05 17:07:28,2024-02-05 17:28:57,2024-02-05 17:55:50,2024-02-05 18:16:32
33,2024-02-05 18:56:26,2024-02-05 19:26:53,,2024-02-05 19:47:25,2024-02-05 20:03:14
34,2024-02-05 16:11:06,,2024-02-05 16:33:45,2024-02-05 17:00:04,2024-02-05 17:17:33
35,2024-02-05 19:52:58,2024-02-05 20:15:25,2024-02-05 20:37:47,2024-02-05 21:05:53,2024-02-05 21:39:50
36,2024-02-05 15:41:24,2024-02-05 16:13:47,2024-02-05 16:33:08,2024-02-05 17:01:23,
37,2024-02-05 12:09:49,2024-02-05 12:40:53,2024-02-05 12:56:39,2024-02-05 13:15:33,
38,,2024-02-05 08:27:31,2024-02-05 08:46:39,,2024-02-05 09:13:25
39,2024-02-05 23:25:22,2024-02-05 23:58:47,2024-02-06 00:11:29,,
40,,,2024-02-05 19:17:20,2024-02-05 19:35:43,2024-02-05 20:11:45
41,,2024-02-05 16:34:01,2024-02-05 17:08:35,,
42,2024-02-05 09:44:38,,2024-02-05 10:20:03,2024-02-05 10:49:44,2024-02-05 11:12:36
43,2024-02-05 12:06:50,2024-02-05 12:27:17,2024-02-05 12:47:11,2024-02-05 13:15:25,2024-02-05 13:34:37
44,2024-02-05 15:41:06,,2024-02-05 16:11:05,2024-02-05 16:33:11,2024-02-05 17:04:08
45,2024-02-05 20:10:33,2024-02-05 20:40:04,2024-02-05 21:08:10,2024-02-05 21:30:42,
46,,,2024-02-05 14:50:00,2024-02-05 15:16:02,2024-02-05 15:40:06
47,2024-02-05 14:09:19,2024-02-05 14:36:24,,2024-02-05 15:02:11,
48,2024-02-05 19:50:08,,2024-02-05 20:02:40,,
49,2024-02-05 00:59:43,2024-02-05 01:21:41,2024-02-05 01:51:16,2024-02-05 02:13:16,2024-02-05 02:30:48
50,,2024-02-05 01:16:43,2024-02-05 01:46:39,,2024-02-05 02:04:15
51,2024-02-05 11:12:56,,2024-02-05 11:35:29,2024-02-05 11:54:09,2024-02-05 12:10:23
52,,,2024-02-05 13:36:53,,2024-02-05 14:05:00
53,2024-02-05 20:02:09,2024-02-05 20:27:43,,,2024-02-05 20:53:43
54,,2024-02-05 14:09:22,2024-02-05 14:31:06,2024-02-05 14:55:58,2024-02-05 15:29:38
55,2024-02-05 07:10:17,2024-02-05 07:43:53,2024-02-05 08:14:14,2024-02-05 08:47:53,
56,2024-02-05 08:27:53,2024-02-05 09:02:57,2024-02-05 09:40:30,2024-02-05 10:11:10,2024-02-05 10:38:08
57,2024-02-05 08:37:44,,2024-02-05 09:03:11,2024-02-05 09:30:52,
58,,2024-02-05 10:31:38,,2024-02-05 10:53:54,2024-02-05 11:17:19
59,2024-02-05 02:27:59,2024-02-05 02:56:53,2024-02-05 03:26:40,2024-02-05 03:59:52,2024-02-05 04:19:21
60,,2024-02-05 02:46:24,2024-02-05 03:08:03,2024-02-05 03:38:01,2024-02-05 03:56:17
61,2024-02-05 15:26:50,,2024-02-05 15:54:31,,
62,2024-02-05 22:48:42,2024-02-05 23:07:28,2024-02-05 23:24:44,2024-02-05 23:56:31,2024-02-06 00:20:29
63,2024-02-05 22:03:14,2024-02-05 22:27:01,,,2024-02-05 22:50:01
64,,2024-02-05 07:36:38,2024-02-05 07:55:33,,
65,2024-02-05 06:22:56,2024-02-05 06:52:29,2024-02-05 07:20:50,2024-02-05 07:52:32,2024-02-05 08:12:44
66,2024-02-05 16:04:46,2024-02-05 16:18:19,2024-02-05 16:38:50,,2024-02-05 17:13:05
67,2024-02-05 06:48:45,2024-02-05 07:15:46,2024-02-05 07:50:37,2024-02-05 08:12:06,2024-02-05 08:40:26
68,2024-02-05 04:03:59,2024-02-05 04:32:16,2024-02-05 05:07:52,2024-02-05 05:30:06,2024-02-05 05:55:51
69,,,2024-02-05 20:11:04,2024-02-05 20:41:57,2024-02-05 21:15:32
70,,2024-02-05 20:14:15,,2024-02-05 20:36:39,2024-02-05 20:56:08
71,2024-02-05 00:58:43,2024-02-05 01:16:25,2024-02-05 01:33:40,2024-02-05 02:06:00,
72,2024-02-05 18:00:09,2024-02-05 18:24:29,2024-02-05 18:47:48,,2024-02-05 19:16:28
73,,2024-02-05 00:25:15,,,2024-02-05 00:48:40
74,2024-02-05 17:59:49,2024-02-05 18:31:57,2024-02-05 18:53:52,,2024-02-05 19:18:22
75,,2024-02-05 12:01:12,,,2024-02-05 12:30:41
76,,2024-02-05 21:50:35,,,2024-02-05 22:25:08
77,2024-02-05 05:38:53,,,2024-02-05 06:04:57,2024-02-05 06:24:28
78,,,,2024-02-05 11:58:24,
79,2024-02-05 02:47:28,2024-02-05 03:10:07,,2024-02-05 03:25:12,2024-02-05 03:41:17
80,2024-02-05 02:22:35,2024-02-05 02:44:54,2024-02-05 03:21:14,2024-02-05 03:40:06,2024-02-05 04:04:50
81,2024-02-05 21:28:48,2024-02-05 21:58:49,2024-02-05 22:24:50,,2024-02-05 22:40:02
82,2024-02-05 12:55:05,2024-02-05 13:20:51,2024-02-05 13:42:47,,
83,2024-02-05 14:22:37,2024-02-05 14:47:43,2024-02-05 15:13:50,2024-02-05 15:41:37,
84,,,2024-02-05 13:07:07,2024-02-05 13:26:03,2024-02-05 13:47:15
85,,2024-02-05 13:31:32,2024-02-05 13:57:43,,2024-02-05 14:28:22
86,,2024-02-05 18:35:29,,2024-02-05 19:03:46,
87,2024-02-05 04:37:34,,2024-02-05 05:04:58,,
88,2024-02-05 14:32:25,2024-02-05 15:00:02,2024-02-05 15:34:27,2024-02-05 15:54:28,2024-02-05 16:13:21
89,2024-02-05 20:47:35,,2024-02-05 21:14:29,,2024-02-05 21:35:25
90,2024-02-05 01:41:40,,2024-02-05 02:14:00,2024-02-05 02:44:23,2024-02-05 03:17:54
91,2024-02-05 06:01:42,2024-02-05 06:33:58,,2024-02-05 06:57:41,2024-02-05 07:24:04
92,2024-02-05 13:51:02,,2024-02-05 14:15:39,2024-02-05 14:43:15,2024-02-05 14:57:35
93,2024-02-05 12:26:51,,,2024-02-05 12:53:22,2024-02-05 13:18:32
94,,,2024-02-05 10:20:38,,2024-02-05 10:37:21
95,2024-02-05 01:10:48,2024-02-05 01:35:54,2024-02-05 01:52:12,2024-02-05 02:27:20,2024-02-05 02:54:40
96,2024-02-05 13:38:24,2024-02-05 14:13:17,2024-02-05 14:41:48,2024-02-05 14:54:23,
97,,2024-02-05 04:22:34,,2024-02-05 04:44:55,2024-02-05 05:00:20
98,2024-02-05 23:32:56,2024-02-06 00:01:28,,2024-02-06 00:36:27,2024-02-06 00:52:02
99,,2024-02-05 20:21:44,2024-02-05 20:49:44,2024-02-05 21:21:04,2024-02-05 21:43:21
